Rank,Country,Elections,Seats*,Women,%W,Elections.1,Seats*.1,Women.1,%W.1,iso3,%W_str
1,Rwanda,9.2018,80,49,61.3,9.2019,26,10,38.5,RWA,61.3%
2,Cuba,3.2018,586,313,53.4,-,-,-,-,CUB,53.4%
3,Nicaragua,11.2016,91,46,50.6,-,-,-,-,NIC,50.6%
4,Mexico,6.2021,500,250,50.0,7.2018,128,63,49.2,MEX,50.0%
“,United Arab Emirates,10.2019,40,20,50.0,-,-,-,-,ARE,50.0%
6,New Zealand,10.202,120,59,49.2,-,-,-,-,NZL,49.2%
7,Sweden,9.2018,349,164,47.0,-,-,-,-,SWE,47.0%
8,Grenada,3.2018,15,7,46.7,4.2018,13,2,15.4,GRD,46.7%
9,South Africa,5.2019,396,184,46.5,5.2019,53,22,41.5,ZAF,46.5%
10,Andorra,4.2019,28,13,46.4,-,-,-,-,AND,46.4%
11,Bolivia (Plurinational State of),10.202,130,60,46.2,10.202,36,20,55.6,BOL,46.2%
12,Finland,4.2019,200,92,46.0,-,-,-,-,FIN,46.0%
13,Costa Rica,2.2018,57,26,45.6,-,-,-,-,CRI,45.6%
14,Norway,9.2017,169,75,44.4,-,-,-,-,NOR,44.4%
15,Namibia,11.2019,104,46,44.2,12.202,42,6,14.3,NAM,44.2%
16,Spain,11.2019,350,154,44.0,11.2019,265,108,40.8,ESP,44.0%
17,Senegal,7.2017,165,71,43.0,-,-,-,-,SEN,43.0%
18,Belgium,5.2019,150,64,42.7,7.2019,60,27,45,BEL,42.7%
19,Ethiopia,6.2021,425,181,42.6,10.2015,153,49,32,ETH,42.6%
20,Argentina,10.2019,257,109,42.4,10.2019,72,29,40.3,ARG,42.4%
“,Mozambique,10.2019,250,106,42.4,-,-,-,-,MOZ,42.4%
22,Switzerland,10.2019,200,84,42.0,10.2019,46,12,26.1,CHE,42.0%
23,Austria,9.2019,183,74,40.4,-,61,22,36.1,AUT,40.4%
24,Belarus,11.2019,110,44,40.0,11.2019,60,15,25,BLR,40.0%
“,North Macedonia,7.202,120,48,40.0,-,-,-,-,MKD,40.0%
“,Peru,4.2021,130,52,40.0,-,-,-,-,PER,40.0%
“,Portugal,10.2019,230,92,40.0,-,-,-,-,PRT,40.0%
28,Denmark,6.2019,179,71,39.7,-,-,-,-,DNK,39.7%
“,Iceland,10.2017,63,25,39.7,-,-,-,-,ISL,39.7%
30,Republic of Moldova,7.2021,101,40,39.6,-,-,-,-,MDA,39.6%
31,France,6.2017,577,228,39.5,9.202,348,121,34.8,FRA,39.5%
32,Ecuador,2.2021,137,54,39.4,-,-,-,-,ECU,39.4%
33,Netherlands,3.2021,150,59,39.3,5.2019,75,29,38.7,NLD,39.3%
34,Serbia,6.202,250,98,39.2,-,-,-,-,SRB,39.2%
35,Cabo Verde,4.2021,72,28,38.9,-,-,-,-,CPV,38.9%
36,Timor-Leste,5.2018,65,25,38.5,-,-,-,-,TLS,38.5%
37,Burundi,5.202,123,47,38.2,7.202,39,16,41,BDI,38.2%
38,United Republic of Tanzania,10.202,388,143,36.9,-,-,-,-,TZA,36.9%
39,Guyana,3.202,70,25,35.7,-,-,-,-,GUY,35.7%
“,Italy,3.2018,630,225,35.7,3.2018,320,110,34.4,ITA,35.7%
41,Luxembourg,10.2018,60,21,35.0,-,-,-,-,LUX,35.0%
42,Dominica,12.2019,32,11,34.4,-,-,-,-,DMA,34.4%
43,United Kingdom,12.2019,650,222,34.2,-,790,223,28.2,GBR,34.2%
44,Cameroon,2.202,180,61,33.9,3.2018,100,26,26,CMR,33.9%
45,South Sudan,5.2021,504,170,33.7,8.2021,84,27,32.1,SSD,33.7%
46,Albania,4.2021,140,47,33.6,-,-,-,-,ALB,33.6%
“,Armenia,6.2021,107,36,33.6,-,-,-,-,ARM,33.6%
48,Monaco,2.2018,24,8,33.3,-,-,-,-,MCO,33.3%
“,San Marino,12.2019,60,20,33.3,-,-,-,-,SMR,33.3%
50,Uganda,1.2021,529,174,32.9,-,-,-,-,UGA,32.9%
51,Nepal,11.2017,275,90,32.7,1.202,58,22,37.9,NPL,32.7%
“,Uzbekistan,12.2019,147,48,32.7,1.202,100,23,23,UZB,32.7%
53,Zimbabwe,7.2018,270,86,31.9,7.2018,80,35,43.8,ZWE,31.9%
54,Germany,9.2017,709,223,31.5,-,69,23,33.3,DEU,31.5%
55,Suriname,5.202,51,16,31.4,-,-,-,-,SUR,31.4%
56,Australia,5.2019,151,47,31.1,5.2019,76,39,51.3,AUS,31.1%
“,Croatia,7.202,151,47,31.1,-,-,-,-,HRV,31.1%
58,Viet Nam,5.2021,499,151,30.3,-,-,-,-,VNM,30.3%
59,Singapore,7.202,104,31,29.8,-,-,-,-,SGP,29.8%
60,Angola,8.2017,220,65,29.6,-,-,-,-,AGO,29.6%
“,Canada,10.2019,338,100,29.6,-,95,47,49.5,CAN,29.6%
62,Latvia,10.2018,100,29,29.0,-,-,-,-,LVA,29.0%
63,Jamaica,9.202,63,18,28.6,9.202,21,8,38.1,JAM,28.6%
64,Israel,3.2021,120,34,28.3,-,-,-,-,ISR,28.3%
“,Poland,10.2019,459,130,28.3,10.2019,100,24,24,POL,28.3%
66,Liechtenstein,2.2021,25,7,28.0,-,-,-,-,LIE,28.0%
“,Philippines,5.2019,304,85,28.0,5.2019,24,7,29.2,PHL,28.0%
68,Dominican Republic,7.202,190,53,27.9,7.202,32,4,12.5,DOM,27.9%
69,Egypt,10.202,592,164,27.7,8.202,300,40,13.3,EGY,27.7%
“,Lithuania,10.202,141,39,27.7,-,-,-,-,LTU,27.7%
71,United States of America,11.202,432,119,27.6,11.202,100,24,24,USA,27.6%
72,El Salvador,2.2021,84,23,27.4,-,-,-,-,SLV,27.4%
73,Mali,12.202,121,33,27.3,-,-,-,-,MLI,27.3%
74,Kazakhstan,1.2021,107,29,27.1,8.202,48,9,18.8,KAZ,27.1%
75,Afghanistan,10.2018,248,67,27.0,1.2015,68,19,27.9,AFG,27.0%
76,Slovenia,6.2018,90,24,26.7,11.2017,40,4,10,SVN,26.7%
77,Iraq,5.2018,329,87,26.4,-,-,-,-,IRQ,26.4%
78,Tunisia,10.2019,217,57,26.3,-,-,-,-,TUN,26.3%
79,Bosnia and Herzegovina,10.2018,42,11,26.2,2.2019,15,3,20,BIH,26.2%
“,Djibouti,2.2018,65,17,26.2,-,-,-,-,DJI,26.2%
“,Trinidad and Tobago,8.202,42,11,26.2,8.202,32,13,40.6,TTO,26.2%
82,Niger,12.202,166,43,25.9,-,-,-,-,NER,25.9%
83,Estonia,3.2019,101,26,25.7,-,-,-,-,EST,25.7%
84,Saint Kitts and Nevis,6.202,16,4,25.0,-,-,-,-,KNA,25.0%
“,Turkmenistan,3.2018,124,31,25.0,3.2021,56,14,25,TKM,25.0%
86,China,3.2018,2975,742,24.9,-,-,-,-,CHN,24.9%
87,Montenegro,8.202,81,20,24.7,-,-,-,-,MNE,24.7%
88,Bulgaria,7.2021,240,59,24.6,-,-,-,-,BGR,24.6%
89,Somalia,10.2016,275,67,24.4,7.2021,29,7,24.1,SOM,24.4%
90,Uruguay,10.2019,99,24,24.2,10.2019,31,10,32.3,URY,24.2%
91,Tajikistan,3.202,63,15,23.8,3.202,31,7,22.6,TJK,23.8%
92,Sao Tome and Principe,10.2018,55,13,23.6,-,-,-,-,STP,23.6%
93,Lesotho,6.2017,120,28,23.3,7.2017,33,7,21.2,LSO,23.3%
94,Czech Republic,10.2017,200,46,23.0,10.202,81,12,14.8,CZE,23.0%
“,Equatorial Guinea,11.2017,100,23,23.0,11.2017,72,12,16.7,GNQ,23.0%
96,Malawi,5.2019,192,44,22.9,-,-,-,-,MWI,22.9%
“,Seychelles,10.202,35,8,22.9,-,-,-,-,SYC,22.9%
98,Slovakia,2.202,150,34,22.7,-,-,-,-,SVK,22.7%
99,Chile,11.2017,155,35,22.6,11.2017,43,12,27.9,CHL,22.6%
100,Ireland,2.202,160,36,22.5,3.202,60,24,40,IRL,22.5%
“,Panama,5.2019,71,16,22.5,-,-,-,-,PAN,22.5%
102,Venezuela (Bolivarian Republic of),12.2015,167,37,22.2,-,-,-,-,VEN,22.2%
103,Lao People's Democratic Republic,2.2021,164,36,22.0,-,-,-,-,LAO,22.0%
104,Greece,7.2019,300,65,21.7,-,-,-,-,GRC,21.7%
105,Cambodia,7.2018,125,27,21.6,2.2018,62,10,16.1,KHM,21.6%
“,Fiji,11.2018,51,11,21.6,-,-,-,-,FJI,21.6%
“,Kenya,8.2017,347,75,21.6,8.2017,66,21,31.8,KEN,21.6%
108,Honduras,11.2017,128,27,21.1,-,-,-,-,HND,21.1%
109,Indonesia,4.2019,575,121,21.0,-,-,-,-,IDN,21.0%
110,Bangladesh,12.2018,350,73,20.9,-,-,-,-,BGD,20.9%
111,Ukraine,7.2019,423,88,20.8,-,-,-,-,UKR,20.8%
112,Morocco,10.2016,395,81,20.5,10.2015,120,14,11.7,MAR,20.5%
113,Mauritania,9.2018,153,31,20.3,-,-,-,-,MRT,20.3%
114,Pakistan,7.2018,342,69,20.2,3.2021,100,19,19,PAK,20.2%
115,Barbados,5.2018,30,6,20.0,6.2018,21,9,42.9,BRB,20.0%
“,Mauritius,11.2019,70,14,20.0,-,-,-,-,MUS,20.0%
117,Saudi Arabia,10.202,151,30,19.9,-,-,-,-,SAU,19.9%
118,Guatemala,6.2019,160,31,19.4,-,-,-,-,GTM,19.4%
119,Georgia,10.202,150,29,19.3,-,-,-,-,GEO,19.3%
120,Republic of Korea,4.202,300,57,19.0,-,-,-,-,KOR,19.0%
121,Colombia,3.2018,170,32,18.8,3.2018,105,22,21,COL,18.8%
122,Togo,12.2018,91,17,18.7,-,-,-,-,TGO,18.7%
123,Romania,12.202,329,61,18.5,12.202,136,25,18.4,ROU,18.5%
124,Azerbaijan,2.202,121,22,18.2,-,-,-,-,AZE,18.2%
“,Saint Vincent and the Grenadines,11.202,22,4,18.2,-,-,-,-,VCT,18.2%
126,Madagascar,5.2019,151,27,17.9,12.202,18,2,11.1,MDG,17.9%
127,Democratic People's Republic of Korea,3.2019,687,121,17.6,-,-,-,-,PRK,17.6%
128,Mongolia,6.202,75,13,17.3,-,-,-,-,MNG,17.3%
“,Turkey,6.2018,600,104,17.3,-,-,-,-,TUR,17.3%
130,Kyrgyzstan,10.202,117,20,17.1,-,-,-,-,KGZ,17.1%
131,Bhutan,10.2018,47,8,17.0,4.2018,25,4,16,BTN,17.0%
132,Comoros,1.202,24,4,16.7,-,-,-,-,COM,16.7%
“,Guinea,3.202,114,19,16.7,-,-,-,-,GIN,16.7%
134,Paraguay,4.2018,80,13,16.3,4.2018,45,8,17.8,PRY,16.3%
135,Gabon,10.2018,142,23,16.2,1.2021,67,16,23.9,GAB,16.2%
136,Libya,6.2014,188,30,16.0,-,-,-,-,LBY,16.0%
137,Russian Federation,9.2016,450,71,15.8,-,170,29,17.1,RUS,15.8%
“,Thailand,3.2019,489,77,15.8,5.2019,250,26,10.4,THA,15.8%
139,Chad,2.2011,156,24,15.4,-,-,-,-,TCD,15.4%
140,Myanmar,11.202,425,65,15.3,11.202,216,31,14.4,MMR,15.3%
141,Brazil,10.2018,513,78,15.2,10.2018,81,10,12.4,BRA,15.2%
142,Bahrain,11.2018,40,6,15.0,12.2018,40,9,22.5,BHR,15.0%
143,Malaysia,5.2018,222,33,14.9,-,66,9,13.6,MYS,14.9%
144,Ghana,12.202,275,40,14.6,-,-,-,-,GHA,14.6%
145,India,4.2019,540,78,14.4,6.202,241,27,11.2,IND,14.4%
146,Cyprus,5.2021,56,8,14.3,-,-,-,-,CYP,14.3%
“,Côte d'Ivoire,3.2021,252,36,14.3,3.2018,99,19,19.2,CIV,14.3%
148,Guinea-Bissau,3.2019,102,14,13.7,-,-,-,-,GNB,13.7%
149,Malta,6.2017,67,9,13.4,-,-,-,-,MLT,13.4%
150,Zambia,8.2021,155,20,12.9,-,-,-,-,ZMB,12.9%
151,Bahamas,5.2017,39,5,12.8,5.2017,16,7,43.8,BHS,12.8%
“,Central African Republic,12.202,133,17,12.8,-,-,-,-,CAF,12.8%
“,Democratic Republic of the Congo,12.2018,500,64,12.8,3.2019,109,23,21.1,COD,12.8%
154,Belize,11.202,32,4,12.5,12.202,14,5,35.7,BLZ,12.5%
155,Sierra Leone,3.2018,146,18,12.3,-,-,-,-,SLE,12.3%
156,Hungary,4.2018,199,24,12.1,-,-,-,-,HUN,12.1%
157,Jordan,11.202,130,15,11.5,9.202,65,8,12.3,JOR,11.5%
158,Congo,7.2017,151,17,11.3,8.2017,69,13,18.8,COG,11.3%
159,Syrian Arab Republic,7.202,250,28,11.2,-,-,-,-,SYR,11.2%
160,Antigua and Barbuda,3.2018,18,2,11.1,3.2018,17,9,52.9,ATG,11.1%
“,Saint Lucia,7.2021,18,2,11.1,8.2021,11,5,45.5,LCA,11.1%
162,Liberia,10.2017,73,8,11.0,12.202,30,2,6.7,LBR,11.0%
163,Botswana,10.2019,65,7,10.8,-,-,-,-,BWA,10.8%
164,Nauru,8.2019,19,2,10.5,-,-,-,-,NRU,10.5%
165,Japan,10.2017,464,46,9.9,7.2019,244,56,23,JPN,9.9%
166,Qatar,6.2016,41,4,9.8,-,-,-,-,QAT,9.8%
167,Eswatini,9.2018,73,7,9.6,10.2018,30,12,40,SWZ,9.6%
168,Brunei Darussalam,1.2017,33,3,9.1,-,-,-,-,BRN,9.1%
“,Samoa,4.2021,44,4,9.1,-,-,-,-,WSM,9.1%
170,Gambia (The),4.2017,58,5,8.6,-,-,-,-,GBM,8.6%
171,Benin,4.2019,83,7,8.4,-,-,-,-,BEN,8.4%
172,Algeria,6.2021,407,33,8.1,12.2018,141,8,5.7,DZA,8.1%
173,Solomon Islands,4.2019,50,4,8.0,-,-,-,-,SLB,8.0%
174,Tonga,11.2017,27,2,7.4,-,-,-,-,TON,7.4%
175,Kiribati,4.202,45,3,6.7,-,-,-,-,KIR,6.7%
176,Burkina Faso,11.202,127,8,6.3,-,-,-,-,BFA,6.3%
“,Palau,11.202,16,1,6.3,11.202,13,1,7.7,PLW,6.3%
“,Tuvalu,9.2019,16,1,6.3,-,-,-,-,TUV,6.3%
179,Marshall Islands,11.2019,33,2,6.1,-,-,-,-,MHL,6.1%
180,Iran (Islamic Republic of),2.202,286,16,5.6,-,-,-,-,IRN,5.6%
181,Sri Lanka,8.202,223,12,5.4,-,-,-,-,LKA,5.4%
182,Lebanon,5.2018,128,6,4.7,-,-,-,-,LBN,4.7%
183,Maldives,4.2019,87,4,4.6,-,-,-,-,MDV,4.6%
184,Nigeria,2.2019,360,13,3.6,2.2019,109,8,7.3,NGA,3.6%
185,Oman,10.2019,86,2,2.3,11.2019,86,15,17.4,OMN,2.3%
186,Kuwait,12.202,65,1,1.5,-,-,-,-,KWT,1.5%
187,Micronesia (Federated States of),3.2021,14,0,,-,-,-,-,FSM,nan%
